# 1 SPECTYPE
# 2 f160w_mag
# 3 f850lp_mag
# 4 f435w_mag
# 5 f098m_mag
# 6 f814w_mag
# 7 f125w_mag
     uka0i      10.00       9.23       8.75       9.32       9.17       9.66 
   uka0iii      10.00       9.10       8.55       9.15       9.00       9.56 
    uka0iv      10.00       9.15       8.51       9.22       9.06       9.60 
     uka0v      10.00       9.23       8.65       9.29       9.12       9.64 
     uka2i      10.00       9.34       9.00       9.42       9.27       9.71 
     uka2v      10.00       9.02       8.50       9.08       8.92       9.51 
   uka3iii      10.00       9.08       8.71       9.14       9.00       9.52 
     uka3v      10.00       9.01       8.60       9.07       8.91       9.49 
   uka47iv      10.00       9.47       9.07       9.51       9.40       9.72 
   uka5iii      10.00       9.34       9.14       9.39       9.29       9.69 
     uka5v      10.00       9.33       9.09       9.36       9.27       9.66 
   uka7iii      10.00       9.30       9.22       9.32       9.26       9.62 
     uka7v      10.00       9.29       9.20       9.31       9.25       9.64 
     ukb0i      10.00       9.02       7.84       9.20       8.81       9.65 
     ukb0v      10.00       8.84       7.45       8.99       8.63       9.52 
  ukb12iii      10.00       9.02       7.80       9.21       8.84       9.61 
     ukb1i      10.00       8.97       7.88       9.11       8.74       9.56 
     ukb1v      10.00       8.75       7.58       8.90       8.58       9.49 
    ukb2ii      10.00       9.13       8.04       9.27       8.95       9.62 
    ukb2iv      10.00       8.74       7.49       8.89       8.56       9.46 
     ukb3i      10.00       9.11       8.13       9.23       8.93       9.61 
   ukb3iii      10.00       8.87       7.82       9.02       8.70       9.56 
     ukb3v      10.00       8.77       7.72       8.90       8.59       9.43 
    ukb57v      10.00       8.95       8.06       9.08       8.80       9.55 
     ukb5i      10.00       9.08       8.38       9.20       8.96       9.62 
    ukb5ii      10.00       9.32       8.37       9.44       9.16       9.68 
   ukb5iii      10.00       8.92       8.00       9.01       8.77       9.50 
    ukb6iv      10.00       8.71       7.91       8.79       8.61       9.39 
     ukb8i      10.00       9.09       8.53       9.19       9.01       9.59 
     ukb8v      10.00       8.89       8.12       8.97       8.78       9.49 
   ukb9iii      10.00       8.96       8.23       9.01       8.86       9.46 
     ukb9v      10.00       9.07       8.39       9.17       8.97       9.59 
   ukf02iv      10.00       9.44       9.64       9.48       9.39       9.72 
     ukf0i      10.00       9.33       9.34       9.37       9.32       9.71 
    ukf0ii      10.00       9.51       9.31       9.51       9.45       9.73 
   ukf0iii      10.00       9.40       9.50       9.43       9.39       9.74 
     ukf0v      10.00       9.43       9.55       9.46       9.37       9.72 
    ukf2ii      10.00       9.35       9.54       9.35       9.33       9.70 
