#2MASS H band
58
1 13000 0
2 13150 0
3 13410 0
4 13680 0
5 13970 0
6 14180 0
7 14400 0.0005
8 14620 0.0028
9 14780 0.0081
10 14860 0.0287
11 14930 0.0871
12 15040 0.2014
13 15150 0.4382
14 15280 0.6864
15 15390 0.8181
16 15460 0.8821
17 15510 0.9118
18 15560 0.9269
19 15650 0.9293
20 15720 0.8727
21 15770 0.8566
22 15830 0.8826
23 15920 0.9181
24 15970 0.9267
25 16020 0.9076
26 16130 0.926
27 16190 0.9205
28 16280 0.9242
29 16330 0.9235
30 16420 0.9418
31 16480 0.9491
32 16570 0.9807
33 16590 0.9937
34 16710 1
35 16840 0.9561
36 17010 0.9241
37 17150 0.9821
38 17270 0.9916
39 17390 0.9887
40 17460 0.9792
41 17510 0.9682
42 17530 0.937
43 17560 0.919
44 17640 0.8423
45 17750 0.6671
46 17850 0.2694
47 17900 0.4516
48 17960 0.1731
49 18030 0.1077
50 18100 0.0707
51 18130 0.0051
52 18180 0.02
53 18280 0.0004
54 18350 0
55 18500 0.0001
56 18710 0
57 18930 0
58 19150 0
