#2MASS Ks band
78
1 18970 0
2 19150 0
3 19270 0
4 19340 0.0002
5 19390 0.0005
6 19480 0.0054
7 19570 0.0119
8 19620 0.0197
9 19690 0.0422
10 19760 0.0873
11 19810 0.1528
12 19890 0.2482
13 19900 0.1902
14 19980 0.2339
15 20080 0.2946
16 20140 0.3982
17 20190 0.3366
18 20280 0.6207
19 20370 0.765
20 20450 0.7464
21 20610 0.6251
22 20720 0.7255
23 20750 0.6895
24 20820 0.7879
25 20890 0.8181
26 20990 0.8228
27 21060 0.8633
28 21130 0.8778
29 21240 0.8953
30 21240 0.8982
31 21380 0.9189
32 21450 0.9268
33 21550 0.9267
34 21690 0.9009
35 21760 0.9228
36 21850 0.8428
37 21970 0.9459
38 22080 0.9804
39 22130 0.9879
40 22180 0.9848
41 22320 0.9647
42 22370 0.9816
43 22480 0.9834
44 22560 0.9613
45 22600 0.9792
46 22630 1
47 22650 0.9632
48 22700 0.9812
49 22720 0.9681
50 22760 0.9109
51 22770 0.9821
52 22810 0.8896
53 22840 0.8918
54 22860 0.9424
55 22910 0.8404
56 22930 0.8042
57 22960 0.702
58 22960 0.6605
59 22990 0.5607
60 23060 0.4437
61 23110 0.3482
62 23160 0.2302
63 23200 0.1626
64 23250 0.136
65 23280 0.0921
66 23350 0.0624
67 23390 0.0431
68 23450 0.0307
69 23450 0.0253
70 23520 0.0118
71 23610 0.0068
72 23630 0.0007
73 23700 0.003
74 23750 0.0021
75 23840 0.0004
76 23990 0
77 24290 0.0004
78 24740 0
