#  Table f606w.WFC2.fits[1]  Tue 12:42:00 12-Oct-2010
# row      WAVELENGTH      THROUGHPUT
#           angstroms                
100
0 3000.38 1.819435e-14
1 3076.13 5.641801e-12
2 3151.88 3.526898e-12
3 3227.64 5.776155e-10
4 3303.39 2.182240e-08
5 3379.14 8.313803e-08
6 3454.90 1.575426e-07
7 3530.65 2.200687e-07
8 3606.41 2.508197e-07
9 3682.16 2.778557e-07
10 3757.91 3.012170e-07
11 3833.67 3.200910e-07
12 3909.42 3.355664e-07
13 3985.17 3.429447e-07
14 4060.93 6.523773e-07
15 4136.68 1.068936e-06
16 4212.44 1.506863e-06
17 4288.19 1.933118e-06
18 4363.94 2.434723e-06
19 4439.70 3.595561e-06
20 4515.45 4.140271e-06
21 4591.20 3.209684e-04
22 4666.96 4.453395e-02
23 4742.71 1.796179e-01
24 4818.47 3.109610e-01
25 4894.22 3.158103e-01
26 4969.97 3.261523e-01
27 5045.73 3.174444e-01
28 5121.48 3.479064e-01
29 5197.23 3.856208e-01
30 5272.99 3.778215e-01
31 5348.74 3.956854e-01
32 5424.50 3.767842e-01
33 5500.25 4.070717e-01
34 5576.00 4.096811e-01
35 5651.76 4.114996e-01
36 5727.51 4.067769e-01
37 5803.27 4.172094e-01
38 5879.02 4.149290e-01
39 5954.77 4.006386e-01
40 6030.53 4.184846e-01
41 6106.28 4.296045e-01
42 6182.03 3.874504e-01
43 6257.79 4.329304e-01
44 6333.54 4.236519e-01
45 6409.30 3.913650e-01
46 6485.05 4.451680e-01
47 6560.80 4.364776e-01
48 6636.56 4.167853e-01
49 6712.31 4.392403e-01
50 6788.06 4.209659e-01
51 6863.82 4.270387e-01
52 6939.57 3.855289e-01
53 7015.33 4.163182e-01
54 7091.08 1.970766e-01
55 7166.83 1.068150e-02
56 7242.59 3.616438e-04
57 7318.34 4.143386e-05
58 7394.09 2.151082e-05
59 7469.85 5.972530e-06
60 7545.60 2.964922e-06
61 7621.36 2.921150e-06
62 7697.11 3.120441e-06
63 7772.86 2.024512e-06
64 7848.62 8.577928e-07
65 7924.37 1.379358e-06
66 8000.12 1.432553e-06
67 8075.88 1.490909e-06
68 8151.63 6.995958e-07
69 8227.39 7.633641e-07
70 8303.14 7.070498e-07
71 8378.89 6.857374e-07
72 8454.65 5.402475e-07
73 8530.40 4.874283e-07
74 8606.16 5.664436e-07
75 8681.91 5.195560e-07
76 8757.66 2.791213e-07
77 8833.42 1.078899e-07
78 8909.17 7.794521e-08
79 8984.92 4.166750e-08
80 9060.68 5.246769e-08
81 9136.43 9.871101e-07
82 9212.19 2.148766e-06
83 9287.94 3.502741e-07
84 9363.69 2.528932e-07
85 9439.45 4.377702e-07
86 9515.20 5.493721e-07
87 9590.95 4.681893e-07
88 9666.71 9.566399e-07
89 9742.46 8.040001e-07
90 9818.22 3.908237e-07
91 9893.97 3.600849e-07
92 9969.72 1.910682e-07
93 10045.48 2.969339e-07
94 10121.23 4.491353e-07
95 10196.98 4.017176e-07
96 10272.74 2.938657e-07
97 10348.49 2.640831e-07
98 10424.25 2.227763e-07
99 10500.00 0.000000e+00
