# ED780-1		ED780-2
# 80mm Dia X 5mmT w/ wedge		
# Measured at Center of part		
# 298K,0 deg aoi		
## note that the temperature and aoi difference is negligible.
# peakT%	97.48438263	97.84909821
# Cut-on:	1493.19	1492.97
# Cut-off:	1778.53	1782.27
# wl(A)	T%	T%
18700.0  0.092145406  0.094595246
18695.0  0.092274927  0.096290946
18690.0  0.086240895  0.093122482
18685.0  0.091183089  0.090307958
18680.0  0.094749138  0.088784888
18675.0  0.101061992  0.088406682
18670.0  0.097046025  0.098473668
18665.0  0.095316693  0.094962232
18660.0  0.095112339  0.090729125
18655.0  0.096924707  0.097999476
18650.0  0.099773847  0.09264008
18645.0  0.096589066  0.095624626
18640.0  0.09823928  0.097321294
18635.0  0.107375741  0.099272937
18630.0  0.101106733  0.095396876
18625.0  0.098149955  0.095399812
18620.0  0.105819583  0.094832465
18615.0  0.103222951  0.095019333
18610.0  0.097902551  0.104014084
18605.0  0.101083599  0.099006921
18600.0  0.098727852  0.095363073
18595.0  0.096897885  0.097077489
18590.0  0.095000334  0.098542392
18585.0  0.100009367  0.094680116
18580.0  0.096082099  0.099705301
18575.0  0.098326474  0.10155531
18570.0  0.094823234  0.097750537
18565.0  0.097908288  0.101903282
18560.0  0.101995803  0.102315716
18555.0  0.096685089  0.102933511
18550.0  0.095242731  0.099052839
18545.0  0.09818884  0.100825399
18540.0  0.097724304  0.10066361
18535.0  0.099940993  0.100991115
18530.0  0.092329182  0.102496691
18525.0  0.091692343  0.099126413
18520.0  0.096830875  0.099010378
18515.0  0.093628556  0.104086168
18510.0  0.096526183  0.103159681
18505.0  0.102646127  0.108046681
18500.0  0.105545089  0.100844495
18495.0  0.099908277  0.109531961
18490.0  0.102371864  0.109157465
18485.0  0.102737106  0.110074252
18480.0  0.10487473  0.109333091
18475.0  0.107643239  0.101150282
18470.0  0.107327431  0.107846201
18465.0  0.105650872  0.10915117
18460.0  0.107587069  0.104313463
18455.0  0.112012714  0.108990006
18450.0  0.103814237  0.11483787
18445.0  0.110353813  0.113634497
18440.0  0.097228192  0.11397434
18435.0  0.110345505  0.116053879
18430.0  0.106709652  0.110176683
18425.0  0.105967954  0.120539926
18420.0  0.109777026  0.116159871
18415.0  0.099089533  0.114136867
18410.0  0.111666121  0.119387485
18405.0  0.105833463  0.123096749
18400.0  0.110795222  0.121384025
18395.0  0.114329413  0.120795503
18390.0  0.107829846  0.121783651
18385.0  0.106934913  0.128037795
18380.0  0.102297872  0.132009253
18375.0  0.11362949  0.125451416
18370.0  0.121734306  0.134303227
18365.0  0.112823069  0.131205395
18360.0  0.115518645  0.141108856
18355.0  0.107986897  0.134695351
18350.0  0.112857416  0.136217296
18345.0  0.116636626  0.14530015
18340.0  0.117178381  0.148520559
18335.0  0.117720887  0.145145908
18330.0  0.124883696  0.149589405
18325.0  0.118258782  0.151871696
18320.0  0.121096537  0.156375885
18315.0  0.11797858  0.155085772
18310.0  0.124488518  0.151316717
18305.0  0.120790549  0.165598616
18300.0  0.123564467  0.169451177
18295.0  0.126992881  0.172303453
18290.0  0.12899518  0.172327653
18285.0  0.132718697  0.1743204
18280.0  0.139046893  0.182427153
18275.0  0.139172018  0.192825571
18270.0  0.138132528  0.195404649
18265.0  0.14038305  0.204790473
18260.0  0.149542436  0.210789844
18255.0  0.146843568  0.211610153
18250.0  0.152751759  0.222138941
18245.0  0.152746424  0.229549527
18240.0  0.152716443  0.238562122
18235.0  0.160484836  0.246545553
18230.0  0.166023716  0.246515662
18225.0  0.166057661  0.262259096
18220.0  0.169654906  0.275068164
18215.0  0.165858686  0.277266175
18210.0  0.17664583  0.293360561
18205.0  0.180294305  0.300575852
18200.0  0.186748877  0.314739049
18195.0  0.192571297  0.330603421
18190.0  0.189679518  0.351313263
18185.0  0.208479747  0.365357488
18180.0  0.202516645  0.382817626
18175.0  0.220935077  0.393473774
18170.0  0.218276218  0.414786726
18165.0  0.228895873  0.43803981
18160.0  0.234946281  0.459438294
18155.0  0.241819426  0.479769439
18150.0  0.251166105  0.507705867
18145.0  0.261252463  0.53922832
18140.0  0.279041082  0.565438271
18135.0  0.288553625  0.59685868
18130.0  0.297614247  0.630739927
18125.0  0.315511376  0.663571596
18120.0  0.321000159  0.699091137
18115.0  0.346273333  0.748052776
18110.0  0.359753192  0.797495902
18105.0  0.382951766  0.842707038
18100.0  0.400045246  0.889989018
18095.0  0.422361493  0.949107468
18090.0  0.439656913  1.011361122
18085.0  0.467912436  1.072192311
18080.0  0.492454648  1.143323779
18075.0  0.518677354  1.219467402
18070.0  0.554923892  1.298264623
18065.0  0.581522107  1.385787368
18060.0  0.612116039  1.48058176
18055.0  0.653124929  1.591206193
18050.0  0.701276004  1.690917969
18045.0  0.751701355  1.809717178
18040.0  0.800779462  1.94502449
18035.0  0.85057354  2.083339453
18030.0  0.903835058  2.22205472
18025.0  0.968943834  2.386032343
18020.0  1.039557576  2.559951782
18015.0  1.112735271  2.744767189
18010.0  1.201441288  2.952967644
18005.0  1.300414324  3.188564301
18000.0  1.392398953  3.420842886
17995.0  1.496677876  3.677440882
17990.0  1.608220816  3.956307411
17985.0  1.743558645  4.266589642
17980.0  1.88617301  4.579707623
17975.0  2.028355122  4.938391685
17970.0  2.189962864  5.327883244
17965.0  2.373886824  5.747519493
17960.0  2.573348761  6.185208797
17955.0  2.786983252  6.669622421
17950.0  3.032669544  7.224514961
17945.0  3.293953419  7.785116673
17940.0  3.581039667  8.411000252
17935.0  3.894973516  9.085442543
17930.0  4.233887196  9.82851696
17925.0  4.607219219  10.60151386
17920.0  5.021287441  11.46876907
17915.0  5.480044842  12.43141937
17910.0  5.97520113  13.42600727
17905.0  6.495740891  14.50214958
17900.0  7.102432251  15.69362545
17895.0  7.748681068  16.95584106
17890.0  8.436432838  18.28809738
17885.0  9.239793777  19.82238388
17880.0  10.11356354  21.45005608
17875.0  11.00534534  23.10963249
17870.0  11.98971558  24.88225937
17865.0  13.11455631  26.87245369
17860.0  14.33423138  28.97318649
17855.0  15.66013145  31.23628235
17850.0  17.15651131  33.68299484
17845.0  18.75626373  36.22977829
17840.0  20.36494255  38.72602081
17835.0  22.18511581  41.48496246
17830.0  24.17628288  44.37108994
17825.0  26.32395554  47.40809631
17820.0  28.64435959  50.51833344
17815.0  31.1109581  53.68051529
17810.0  33.65346146  56.7883606
17805.0  36.34382629  59.9246521
17800.0  39.21455383  63.09975433
