#SUBARU CENTER	
#Wavelength (A)	%T
25000.0  0.167226106
24998.00049  0.198863849
24996.00098  0.184924126
24993.99902  0.186697468
24991.99951  0.186591625
24990.0  0.189534754
24988.00049  0.188232347
24986.00098  0.191572741
24983.99902  0.1883993
24981.99951  0.191733986
24980.0  0.18869327
24978.00049  0.191303372
24976.00098  0.203169182
24973.99902  0.197602525
24971.99951  0.195408285
24970.0  0.189583391
24968.00049  0.192605853
24966.00098  0.214806244
24963.99902  0.189719483
24961.99951  0.210216358
24960.0  0.210267931
24958.00049  0.213233262
24956.00098  0.210577488
24953.99902  0.216393575
24951.99951  0.229346246
24950.0  0.20925954
24948.00049  0.223164395
24946.00098  0.2190568
24943.99902  0.224783361
24941.99951  0.229503244
24940.0  0.230461761
24938.00049  0.235869661
24936.00098  0.231355548
24933.99902  0.239122659
24931.99951  0.23048082
24930.0  0.234986275
24928.00049  0.23764658
24926.00098  0.248210385
24923.99902  0.246553332
24921.99951  0.250347704
24920.0  0.253018677
24918.00049  0.251128972
24916.00098  0.254741877
24913.99902  0.253778786
24911.99951  0.254318625
24910.0  0.262966007
24908.00049  0.25734818
24906.00098  0.260083735
24903.99902  0.26035589
24901.99951  0.273297161
24900.0  0.274979472
24898.00049  0.269475371
24896.00098  0.277273446
24893.99902  0.274451613
24891.99951  0.277115345
24890.0  0.279251754
24888.00049  0.281224549
24886.00098  0.286395133
24883.99902  0.293624878
24881.99951  0.297422111
24880.0  0.288695753
24878.00049  0.289347321
24876.00098  0.301899523
24873.99902  0.293281347
24871.99951  0.305168062
24870.0  0.30776158
24868.00049  0.308700681
24866.00098  0.303555906
24863.99902  0.314559013
24861.99951  0.315459698
24860.0  0.320583731
24858.00049  0.325275898
24856.00098  0.322669625
24853.99902  0.330524713
24851.99951  0.329986692
24850.0  0.333209276
24848.00049  0.34427619
24846.00098  0.338109016
24843.99902  0.34131822
24841.99951  0.358433992
24840.0  0.358330697
24838.00049  0.343881279
24836.00098  0.352098435
24833.99902  0.350061953
24831.99951  0.366055042
24830.0  0.364342481
24828.00049  0.361805499
24826.00098  0.373989761
24823.99902  0.369028598
24821.99951  0.386770964
24820.0  0.378138453
24818.00049  0.394465685
24816.00098  0.390410602
24813.99902  0.386870652
24811.99951  0.393200249
24810.0  0.401159614
24808.00049  0.409874588
24806.00098  0.411525309
24803.99902  0.416793823
24801.99951  0.41098091
24800.0  0.417195022
24798.00049  0.425126225
24796.00098  0.429304034
24793.99902  0.422295272
24791.99951  0.429199904
24790.0  0.43526265
24788.00049  0.446437717
24786.00098  0.4415811
24783.99902  0.44171986
24781.99951  0.460306644
24780.0  0.457310319
24778.00049  0.461839318
24776.00098  0.463167101
24773.99902  0.464027971
24771.99951  0.490513623
24770.0  0.472428054
24768.00049  0.482535005
24766.00098  0.491938174
24763.99902  0.484312981
24761.99951  0.506878436
24760.0  0.506513119
24758.00049  0.509939432
24756.00098  0.507148147
24753.99902  0.510495186
24751.99951  0.518278241
24750.0  0.52295202
24748.00049  0.533924818
24746.00098  0.541316569
24743.99902  0.548326731
24741.99951  0.555220366
24740.0  0.539396882
24738.00049  0.547389269
24736.00098  0.560197949
24733.99902  0.574082315
24731.99951  0.575857639
24730.0  0.574922979
24728.00049  0.583023191
24726.00098  0.591124892
24723.99902  0.584885538
24721.99951  0.597756028
24720.0  0.605130673
24718.00049  0.617065966
24716.00098  0.621821702
24713.99902  0.628866136
24711.99951  0.626512349
24710.0  0.632520616
24708.00049  0.641831398
24706.00098  0.649019182
24703.99902  0.656450331
24701.99951  0.670625567
24700.0  0.671575248
24698.00049  0.678438425
24696.00098  0.676599443
24693.99902  0.692856014
24691.99951  0.690023422
24690.0  0.701651514
24688.00049  0.707739174
24686.00098  0.715188325
24683.99902  0.715358257
24681.99951  0.727834821
24680.0  0.735071898
24678.00049  0.749293208
24676.00098  0.747095823
24673.99902  0.751490533
24671.99951  0.759738207
24670.0  0.774424315
24668.00049  0.787142038
24666.00098  0.788103879
24663.99902  0.798535705
24661.99951  0.808735192
24660.0  0.815604091
24658.00049  0.816815436
24656.00098  0.826904833
24653.99902  0.831365049
24651.99951  0.844162703
24650.0  0.854727507
24648.00049  0.8579458
24646.00098  0.867530227
24643.99902  0.870542109
24641.99951  0.888183415
24640.0  0.88781172
24638.00049  0.91443944
24636.00098  0.901427984
24633.99902  0.914127827
24631.99951  0.921368897
24630.0  0.939841449
24628.00049  0.946963131
24626.00098  0.97581625
24623.99902  0.974099338
24621.99951  0.981971264
24620.0  0.993117034
24618.00049  0.994206488
24616.00098  1.013851166
24613.99902  1.028211832
24611.99951  1.044248343
24610.0  1.035654545
24608.00049  1.053934097
24606.00098  1.078618288
24603.99902  1.079734325
24601.99951  1.100828648
24600.0  1.09261632
24598.00049  1.100491405
24596.00098  1.134235263
24593.99902  1.160458922
24591.99951  1.146790266
24590.0  1.16157937
24588.00049  1.177993894
24586.00098  1.196810246
24583.99902  1.224470735
24581.99951  1.214875817
24580.0  1.216817737
24578.00049  1.239472508
24576.00098  1.260740638
24573.99902  1.260398149
24571.99951  1.290127873
24570.0  1.299690962
24568.00049  1.318212152
24566.00098  1.330342889
24563.99902  1.34077239
24561.99951  1.351272821
24560.0  1.371576309
24558.00049  1.382203698
24556.00098  1.40347755
24553.99902  1.403245091
24551.99951  1.431574821
24550.0  1.450168967
24548.00049  1.454796791
24546.00098  1.472057462
24543.99902  1.48232305
24541.99951  1.517768741
24540.0  1.535952091
24538.00049  1.54848206
24536.00098  1.558371663
24533.99902  1.581089377
24531.99951  1.590605021
24530.0  1.620602965
24528.00049  1.624555111
24526.00098  1.655584931
24523.99902  1.676745534
24521.99951  1.686195135
24520.0  1.709961176
24518.00049  1.721516252
24516.00098  1.744524956
24513.99902  1.770202041
24511.99951  1.797733784
24510.0  1.809630513
24508.00049  1.83516717
24506.00098  1.845892549
24503.99902  1.867805481
24501.99951  1.894306421
24500.0  1.921782613
24498.00049  1.938465595
24496.00098  1.956502914
24493.99902  1.982233167
24491.99951  2.003131151
24490.0  2.03082633
24488.00049  2.052542448
24486.00098  2.081878185
24483.99902  2.092609644
24481.99951  2.118480444
24480.0  2.14730835
24478.00049  2.180520058
24476.00098  2.202539444
24473.99902  2.216105461
24471.99951  2.252470255
24470.0  2.278511524
24468.00049  2.308029413
24466.00098  2.328284264
24463.99902  2.353828192
24461.99951  2.385737658
24460.0  2.417163134
24458.00049  2.441236019
24456.00098  2.496706486
24453.99902  2.497055531
24451.99951  2.530332088
24450.0  2.559127808
24448.00049  2.59606123
24446.00098  2.627071381
24443.99902  2.654360056
24441.99951  2.694708824
24440.0  2.716558218
24438.00049  2.75390625
24436.00098  2.782932043
24433.99902  2.820088625
24431.99951  2.845773935
24430.0  2.891677856
24428.00049  2.91387558
24426.00098  2.959555864
24423.99902  2.986116171
24421.99951  3.038001776
24420.0  3.06916666
24418.00049  3.103214502
24416.00098  3.144499302
24413.99902  3.187375784
24411.99951  3.221874237
24410.0  3.255973339
24408.00049  3.300842285
24406.00098  3.339749575
24403.99902  3.38444519
24401.99951  3.415130138
24400.0  3.473568678
24398.00049  3.511248589
24396.00098  3.545338392
24393.99902  3.595925093
24391.99951  3.644248962
24390.0  3.681347132
24388.00049  3.724953651
24386.00098  3.779244423
24383.99902  3.822597027
24381.99951  3.870975494
24380.0  3.905943394
24378.00049  3.959232569
24376.00098  4.018702507
24373.99902  4.075645447
24371.99951  4.114548206
24370.0  4.171383858
24368.00049  4.22675848
24366.00098  4.277441502
24363.99902  4.327032089
24361.99951  4.380226135
24360.0  4.438479424
24358.00049  4.497426033
24356.00098  4.559681892
24353.99902  4.610394001
24351.99951  4.681523323
24350.0  4.731506348
24348.00049  4.809237003
24346.00098  4.849544048
24343.99902  4.925788403
24341.99951  4.975428581
24340.0  5.059830666
24338.00049  5.111058235
