# Lot 1707	Ks Filter (1990nm-2310nm)	
# Information in red is the Room temp (298K) measured data for the delivered filter
# 80mm Diameter X 5mm		
# Lot 1707 pc#2(rot1) Center	pc#3(rot2) Center
#	ch1	ch2
#	298K	0 deg aoi
## note that the temperature and aoi difference is negligible.
#peakT%	97.077034	96.92486572
#Cut-on	1995.06	1993.982
#Cut-off	2309.877	2309.738
# wl(A)	T%	T%
24000.0  0.349736482  0.290929735
23990.0  0.082903035  0.170891509
23980.0  0.141876817  0.059147198
23970.0  0.263727158  0.200636193
23960.0  -0.025770746  0.154050276
23950.0  0.160243183  0.197914034
23940.0  0.202277228  0.179003343
23930.0  0.096377939  0.156930253
23920.0  0.140307367  0.11036218
23910.0  0.177698195  0.136938483
23900.0  0.160807729  0.175745115
23890.0  0.11930503  0.11405322
23880.0  0.245874941  0.21822378
23870.0  0.209304228  0.235736668
23860.0  0.243485272  0.254505336
23850.0  0.146218523  0.143553376
23840.0  0.282162696  0.201107889
23830.0  0.282978177  0.192412347
23820.0  0.414913416  0.331009805
23810.0  0.224380687  0.137280628
23800.0  0.151000306  0.191754282
23790.0  0.264338374  0.203345537
23780.0  0.237486646  0.278442949
23770.0  0.319777191  0.332323074
23760.0  0.333696485  0.32962662
23750.0  0.280050606  0.261764169
23740.0  0.299260259  0.193786115
23730.0  0.273812443  0.26571691
23720.0  0.346251607  0.290532291
23710.0  0.40826267  0.451315761
23700.0  0.407388002  0.35742417
23690.0  0.383344829  0.286883384
23680.0  0.460986137  0.348511159
23670.0  0.396210372  0.459418386
23660.0  0.512812614  0.369235933
23650.0  0.490315676  0.510874927
23640.0  0.514294267  0.504948974
23630.0  0.545392215  0.505452633
23620.0  0.432472348  0.528805673
23610.0  0.68783915  0.619494557
23600.0  0.71702379  0.736380279
23590.0  0.693199217  0.577471614
23580.0  0.740849316  0.699760795
23570.0  0.667910278  0.633180738
23560.0  0.879511774  0.859628081
23550.0  0.982179403  0.947019577
23540.0  1.000368237  0.980449855
23530.0  1.130756497  1.203277588
23520.0  1.293872714  1.291882038
23510.0  1.295170546  1.27494061
23500.0  1.460180163  1.287715077
23490.0  1.485592723  1.653332829
23480.0  1.703166366  1.521596909
23470.0  1.822365761  1.735008121
23460.0  1.887058854  1.876626372
23450.0  2.17919755  2.14931035
23440.0  2.394428492  2.286971331
23430.0  2.399959564  2.397716999
23420.0  2.597695827  2.601280451
23410.0  2.790946245  2.846678257
23400.0  3.318636179  3.233444214
23390.0  3.499616623  3.465105534
23380.0  3.765464306  3.852659464
23370.0  4.10172987  4.167999744
23360.0  4.539452553  4.385557652
23350.0  4.813666821  4.681552887
23340.0  5.372854233  5.310749054
23330.0  5.885288715  5.859210491
23320.0  6.335051537  6.360302925
23310.0  6.874121666  6.836147785
23300.0  7.606597424  7.514255524
23290.0  8.345071793  8.276272774
23280.0  9.049497604  8.919212341
23270.0  9.989163399  9.925093651
23260.0  10.91374207  10.87927628
23250.0  12.00747013  11.90327263
23240.0  13.17057037  13.16484928
23230.0  14.46555519  14.35411549
23220.0  15.88239098  15.73813534
23210.0  17.42821121  17.34511566
23200.0  19.25440788  19.07648659
23190.0  21.33254051  21.03266716
23180.0  23.37161636  23.15681458
23170.0  25.6301918  25.32009125
23160.0  28.14716339  27.80872345
23150.0  30.7693367  30.4836216
23140.0  33.88265228  33.47124863
23130.0  37.26231003  36.82205582
23120.0  40.52288818  40.03353119
23110.0  44.10020447  43.54309464
23100.0  48.05000687  47.43064117
23090.0  51.78281784  51.08683014
23080.0  55.66500473  54.9174614
23070.0  59.97317505  59.26470184
23060.0  63.90446854  63.15314102
23050.0  67.80587006  67.0633316
23040.0  71.97031403  71.19342041
23030.0  75.25135803  74.55182648
23020.0  78.60915375  77.83803558
23010.0  81.90463257  81.27827454
23000.0  84.45394897  83.7292099
22990.0  87.08045959  86.56039429
22980.0  89.17875671  88.61406708
22970.0  90.95094299  90.51301575
22960.0  92.53341675  91.96833038
22950.0  93.52783203  93.051651
22940.0  94.44381714  94.11780548
22930.0  95.18322754  94.92060852
22920.0  95.70101166  95.54052734
22910.0  96.35088348  95.98470306
22900.0  96.54169464  96.30522156
22890.0  96.57548523  96.32365417
22880.0  96.70057678  96.55887604
22870.0  96.64559174  96.45938873
22860.0  96.56169891  96.25778198
22850.0  96.72166443  96.6590271
22840.0  96.74653625  96.61319733
22830.0  96.66847229  96.45685577
22820.0  96.70890808  96.51659393
22810.0  96.49188232  96.34804535
22800.0  96.53210449  96.26213074
22790.0  96.63735962  96.46419525
22780.0  96.47887421  96.32190704
22770.0  96.67086792  96.46922302
22760.0  96.60926819  96.50804901
22750.0  96.5951767  96.40237427
22740.0  96.53479767  96.41947937
22730.0  96.87259674  96.66207886
22720.0  96.6367569  96.52248383
22710.0  96.76169586  96.5952301
22700.0  96.76829529  96.59903717
22690.0  96.78700256  96.66702271
22680.0  96.75187683  96.5550766
22670.0  96.84393311  96.66651154
22660.0  96.76858521  96.58255768
22650.0  96.8058548  96.53009796
22640.0  96.83296204  96.66815948
22630.0  96.74207306  96.52980042
22620.0  96.71933746  96.42227173
22610.0  96.61940002  96.32723236
22600.0  96.60323334  96.35997772
22590.0  96.50738525  96.23099518
22580.0  96.58776855  96.29969025
22570.0  96.4332962  96.16690826
22560.0  96.33905029  96.02088928
22550.0  96.34411621  96.10172272
22540.0  96.28201294  95.97730255
22530.0  96.20108032  95.88565826
22520.0  96.14016724  95.89129639
22510.0  96.0884552  95.78343201
22500.0  96.01317596  95.71700287
22490.0  96.0791626  95.79451752
22480.0  95.95528412  95.58822632
22470.0  95.96109772  95.59502411
22460.0  95.97814941  95.59156036
22450.0  95.74681854  95.49960327
22440.0  95.9197464  95.47132111
22430.0  95.94165039  95.59925842
22420.0  95.90768433  95.53691864
22410.0  95.97602081  95.61641693
22400.0  95.76583862  95.43566895
22390.0  95.96185303  95.65692139
22380.0  96.04907227  95.89541626
22370.0  95.93267059  95.6840744
22360.0  96.12223816  95.7701416
22350.0  96.10122681  95.96913147
22340.0  96.10097504  95.77348328
22330.0  96.1611557  95.78747559
22320.0  96.17828369  95.91300964
22310.0  96.17359924  95.94663239
22300.0  96.39192963  96.10852051
22290.0  96.33413696  96.10539246
22280.0  96.34934998  96.0431366
22270.0  96.44564819  96.20314026
22260.0  96.26792908  96.15596771
22250.0  96.40463257  96.19789886
22240.0  96.49816132  96.25405884
22230.0  96.41464996  96.20052338
22220.0  96.5470047  96.34041595
22210.0  96.49523163  96.24745178
22200.0  96.53507233  96.23078918
22190.0  96.41266632  96.30200195
22180.0  96.43617249  96.22125244
22170.0  96.59288025  96.48345947
22160.0  96.62548828  96.33924103
22150.0  96.74404144  96.49334717
22140.0  96.56195068  96.46400452
22130.0  96.54230499  96.21497345
22120.0  96.51847839  96.3913269
22110.0  96.54507446  96.40683746
22100.0  96.62329102  96.43663788
22090.0  96.72850037  96.57965088
22080.0  96.5305481  96.38948059
22070.0  96.530159  96.37792206
22060.0  96.51893616  96.28948212
22050.0  96.52611542  96.39607239
22040.0  96.55992889  96.39627075
22030.0  96.60030365  96.39930725
22020.0  96.63092804  96.42166138
22010.0  96.61790466  96.42956543
22000.0  96.39392853  96.23797607
21990.0  96.60482025  96.35643005
21980.0  96.53095245  96.38587952
21970.0  96.58918762  96.38217163
21960.0  96.65567017  96.54710388
21950.0  96.53613281  96.32897186
21940.0  96.56717682  96.39608002
21930.0  96.56264496  96.38408661
21920.0  96.56401062  96.34086609
21910.0  96.74967194  96.51268005
21900.0  96.52864838  96.32850647
21890.0  96.53765106  96.46697998
21880.0  96.54105377  96.3979187
21870.0  96.41999054  96.26586914
21860.0  96.59735107  96.44062805
21850.0  96.35146332  96.30237579
21840.0  96.42450714  96.20676422
21830.0  96.49632263  96.26950073
21820.0  96.38960266  96.17916107
21810.0  96.44355774  96.33177185
21800.0  96.39611816  96.33148193
21790.0  96.26204681  96.01662445
21780.0  96.29193878  96.17229462
21770.0  96.37757874  96.20133209
21760.0  96.32133484  96.2011261
21750.0  96.25415039  96.03323364
21740.0  96.21484375  96.02494812
21730.0  96.2707901  96.05014038
21720.0  96.33612823  96.07193756
21710.0  96.19363403  96.12141418
21700.0  96.27577972  96.08809662
21690.0  96.24320221  96.03787994
21680.0  96.1457901  95.87971497
21670.0  96.31001282  96.03752899
21660.0  96.43566132  96.15509796
21650.0  96.08473969  96.09409332
21640.0  96.25693512  96.03455353
21630.0  96.32378387  96.07545471
21620.0  96.23018646  95.92888641
21610.0  96.27347565  96.06053925
21600.0  96.19786072  96.09278107
21590.0  96.33908081  96.09651947
21580.0  96.35964966  96.22245789
21570.0  96.30831909  96.09967804
21560.0  96.35557556  96.14061737
21550.0  96.36846161  96.1145401
21540.0  96.42528534  96.1986618
21530.0  96.43190002  96.23754883
21520.0  96.56012726  96.28809357
21510.0  96.48822784  96.32582092
21500.0  96.53539276  96.22708893
21490.0  96.44772339  96.26615143
21480.0  96.65229034  96.39002991
21470.0  96.62133026  96.4364624
21460.0  96.69520569  96.46316528
21450.0  96.68471527  96.42588043
21440.0  96.64826202  96.36741638
21430.0  96.70059204  96.48531342
21420.0  96.5683136  96.49365234
21410.0  96.82215118  96.53627014
21400.0  96.81460571  96.55039215
21390.0  96.71296692  96.43263245
