# ED537	MKO Y 1020/100nm HP: 970-1070nm	
# Information in red is the Room temp (298K) measured data for the delivered 80mm diameter filter	
#		
# ED537-1		ED537-2
# 80mm Dia X 5mm Thick		
# Measured at Center of part		
#	298K	298K
#peakT%	79.14382172	79.30427551
#Cut-on:	974.16	973.89
#Cut-off:	1071.54	1071.88
#wl(nm)	T%	T%
1140	0	0.004904438
1139.75	0	0.001635097
1139.5	-0.006402216	0.014593788
1139.25	-0.004902998	0.003269758
1139	-0.001633381	0.01140519
1138.75	-0.006478631	-0.008111289
1138.5	-0.006632834	-0.003364084
1138.25	-0.0032176	0.011175219
1138	0.014445318	0.012923718
1137.75	0.001640172	0.004900725
1137.5	-0.009928879	0.006579768
1137.25	-0.006440778	0.011282127
1137	-0.008164562	0.003259121
1136.75	0.004885214	0.008179313
1136.5	0.006509567	0.009770556
1136.25	-0.003249443	0.009810513
1136	-0.005514855	0.005431221
1135.75	0	0.003017995
1135.5	-0.00819423	0.011643989
1135.25	-0.001628151	0.016292799
1135	0.003307368	-0.003286623
1134.75	0.006773742	0.008438965
1134.5	0.003388674	0.015053248
1134.25	-0.007516478	-0.001518878
1134	-0.006863886	0.00346518
1133.75	-0.009503856	0.011021625
1133.5	-0.001685771	0.006714487
1133.25	-0.004801758	0.009666311
1133	0.001625481	0.009738988
1132.75	-0.009797829	0.021279546
1132.5	0.00327082	-0.006582706
1132.25	-0.001637437	0.009701822
1132	0.001627197	0
1131.75	0.001617326	0.001627641
1131.5	0	0.009945998
1131.25	-0.003266866	0.004838534
1131	-0.006542448	0.011390464
1130.75	-0.003257805	0.011472923
1130.5	0.001617559	0.022815138
1130.25	0.004935721	0.004878756
1130	-0.013249852	0.011486003
1129.75	0.004869492	0.008331403
1129.5	0.011425294	-0.00156334
1129.25	0.009688866	0.014697543
1129	0.003249681	0.019719515
1128.75	0.006557816	0.014526674
1128.5	-0.001642503	0.001671405
1128.25	0.001621484	0.009637439
1128	-0.001616974	0.011552316
1127.75	0.005192916	0.013417711
1127.5	0.003061807	0.009294266
1127.25	0.005021032	0.023213018
1127	0.004722791	0.01770458
1126.75	0.001632287	0
1126.5	0.004888325	0.009782737
1126.25	-0.006585995	0.001669295
1126	0.014675812	0.003209158
1125.75	0	0.019647615
1125.5	0.011859489	0.006685712
1125.25	0.001659566	0.004832441
1125	0	0.007897908
1124.75	0	0.009770265
1124.5	0.013020614	0.013057885
1124.25	0.003289948	0.006536376
1124	-0.001631622	0.014696328
1123.75	0.005069994	0.017014144
1123.5	0.00159281	0.003092349
1123.25	0.00318641	0.009779821
1123	-0.003261992	0.011454325
1122.75	0.006756886	0.006868188
1122.5	0.004719944	0.009257188
1122.25	0.013504582	0.0133283
1122	0.001588971	0.009932768
1121.75	0	0.015907092
1121.5	0	0.009767057
1121.25	0.013477803	0.016744405
1121	0.01084359	0.0094842
1120.75	-0.003274325	0.013054403
1120.5	0.006544112	0.013154856
1120.25	0.001697517	0.015007068
1120	-0.003080119	0.006437615
1119.75	0.00986847	0.024152564
1119.5	0.001630089	0.014807194
1119.25	0.004995875	0.019645855
1119	0.008067502	0.017869918
1118.75	0.011479866	0.009777911
1118.5	0.003231606	0.01304044
1118.25	0	0.014896125
1118	-0.003115959	0.012846472
1117.75	0.008202553	0.00648408
1117.5	0.001649607	0.011699063
1117.25	0.001638344	0.01804072
1117	0	0.014313585
1116.75	-0.001650876	0.019713016
1116.5	0.009857055	0.016460344
1116.25	-0.003244913	0.016072763
1116	0.014493012	0.020970467
1115.75	0.003280279	0.009853547
1115.5	0.009831467	0.019606292
1115.25	0.009770473	0.006536253
1115	0.010025138	0.0212286
1114.75	0.004844876	0.019459723
1114.5	0.019593565	0.01797598
1114.25	0.00982038	0.014735049
1114	0.004915507	0.009837258
1113.75	0.016398825	0.019583076
1113.5	0.01623426	0.012956083
1113.25	0.013103579	0.013093479
1113	0.013071177	0.013100531
1112.75	0.011400701	0.016345479
1112.5	0.01310128	0.011485807
1112.25	0.008169101	0.014594316
1112	0.021260355	0.011449154
1111.75	0.011454592	0.011449183
1111.5	0.019725408	0.021469064
1111.25	0.016305111	0.022867819
1111	0.016348526	0.030990219
1110.75	0.022923842	0.016375043
1110.5	0.016373858	0.022988573
1110.25	0.024425581	0.026121657
1110	0.026288597	0.014727192
1109.75	0.02126536	0.024566526
1109.5	0.02454512	0.03442828
1109.25	0.021315252	0.031174697
1109	0.029474596	0.030919874
1108.75	0.021336067	0.034394562
1108.5	0.034107767	0.029391866
1108.25	0.031048303	0.039288633
1108	0.022962468	0.034447778
1107.75	0.029462079	0.02619678
1107.5	0.032764733	0.045896862
1107.25	0.037720934	0.042341132
1107	0.026226763	0.037793927
1106.75	0.034346592	0.04076409
1106.5	0.036115132	0.037803937
1106.25	0.042319223	0.04252189
1106	0.031188985	0.052228417
1105.75	0.034265894	0.040933736
1105.5	0.032828808	0.042565927
1105.25	0.039053451	0.042654432
1105	0.032818407	0.040759318
1104.75	0.042373963	0.044281855
1104.5	0.034288399	0.058732599
1104.25	0.047465067	0.054026518
1104	0.039315093	0.049016327
1103.75	0.042591091	0.042624447
1103.5	0.042635169	0.045946427
1103.25	0.045933619	0.05221938
1103	0.044324413	0.049265537
1102.75	0.045622215	0.063679852
1102.5	0.05917627	0.060607679
1102.25	0.060369715	0.06563811
1102	0.06087324	0.073893227
1101.75	0.0523347	0.064886592
1101.5	0.062385336	0.074951828
1101.25	0.055824064	0.065844633
1101	0.069103204	0.065758996
1100.75	0.071746111	0.066771448
1100.5	0.071959928	0.077930897
1100.25	0.067219771	0.072836012
1100	0.077071629	0.077317417
1099.75	0.076555744	0.079195268
1099.5	0.07764484	0.080418751
1099.25	0.07943327	0.091772497
1099	0.08318688	0.091205746
1098.75	0.100881189	0.087033495
1098.5	0.086937763	0.091569655
1098.25	0.094466507	0.088717178
1098	0.102788918	0.101412445
1097.75	0.107221372	0.097169772
1097.5	0.095839247	0.113284424
1097.25	0.111758135	0.109457888
1097	0.11073073	0.11111293
1096.75	0.11683806	0.123591304
1096.5	0.11963921	0.127913564
1096.25	0.125739694	0.131539926
1096	0.143795639	0.128069997
1095.75	0.129298732	0.144564077
1095.5	0.139539868	0.135093212
1095.25	0.148793131	0.159286365
1095	0.156016782	0.149665177
1094.75	0.161375806	0.16924189
1094.5	0.175120503	0.176162332
1094.25	0.179911926	0.183177173
1094	0.183259115	0.186204404
1093.75	0.198470339	0.19862549
1093.5	0.204222411	0.198484048
1093.25	0.201272756	0.210289165
1093	0.226905018	0.230308756
1092.75	0.232781306	0.236470699
1092.5	0.239168435	0.246760383
1092.25	0.2492055	0.271969557
1092	0.258858502	0.279462308
1091.75	0.283970535	0.290366441
1091.5	0.299037725	0.307264417
1091.25	0.303866446	0.318539202
1091	0.336813867	0.333733708
1090.75	0.331928551	0.347461551
1090.5	0.359768421	0.374258131
1090.25	0.380554378	0.393342227
1090	0.407902956	0.418923974
1089.75	0.412970364	0.445063055
1089.5	0.443449527	0.470368475
1089.25	0.461701214	0.520510554
1089	0.500055254	0.536802292
1088.75	0.517989039	0.553996563
1088.5	0.557840049	0.594295442
1088.25	0.593082607	0.625043333
1088	0.628365099	0.669788718
1087.75	0.666113675	0.701616585
1087.5	0.69663471	0.754335642
1087.25	0.743267119	0.787698031
1087	0.788929761	0.836123228
1086.75	0.836846054	0.895352006
1086.5	0.884901464	0.944035053
1086.25	0.934808612	1.011090875
1086	1.004873633	1.074077845
1085.75	1.072470427	1.134734273
1085.5	1.132107496	1.217007041
1085.25	1.209552288	1.289849639
1085	1.283460498	1.383141518
1084.75	1.371633887	1.458907008
1084.5	1.46243012	1.557025433
1084.25	1.557095528	1.664179325
1084	1.653665304	1.762247801
1083.75	1.776504278	1.896909833
1083.5	1.89388299	2.013608694
1083.25	2.02996254	2.16073823
1083	2.154025793	2.294678926
1082.75	2.313463449	2.465959549
1082.5	2.474958181	2.637378216
1082.25	2.627251625	2.80516696
1082	2.825312614	3.004292488
1081.75	3.001677513	3.203814507
1081.5	3.247758865	3.462441921
1081.25	3.477476835	3.694036961
1081	3.705000401	3.95664835
1080.75	3.98489356	4.264101982
1080.5	4.226846695	4.527319431
1080.25	4.569582939	4.878593922
1080	4.832956314	5.167597294
1079.75	5.211072922	5.575754642
1079.5	5.597681522	5.989949226
1079.25	5.96054554	6.393526554
1079	6.442873955	6.900656223
1078.75	6.845281124	7.342871189
1078.5	7.355872631	7.880047798
1078.25	7.837141991	8.406855583
1078	8.419870377	9.039532661
1077.75	9.06973362	9.721295357
1077.5	9.632977486	10.37042427
1077.25	10.36725903	11.16407108
1077	10.99271202	11.8362484
1076.75	11.8283329	12.70707989
1076.5	12.60112095	13.53967476
1076.25	13.44687366	14.4849968
1076	14.4753933	15.55497456
1075.75	15.31522465	16.49225807
1075.5	16.42568207	17.685812
1075.25	17.37025833	18.71601105
1075	18.51393318	19.96303558
1074.75	19.69413567	21.21448898
1074.5	20.90572548	22.55075455
1074.25	22.39378166	24.09877968
1074	23.5746479	25.38209534
1073.75	25.09917068	27.00635529
1073.5	26.41399193	28.40553856
1073.25	27.94245148	30.04039764
1073	29.52770805	31.65905762
1072.75	31.07123375	33.35619736
1072.5	32.94372559	35.26373672
1072.25	34.51854324	37.00429153
1072	36.30752945	38.8062439
1071.75	38.01623917	40.54063416
1071.5	39.82735443	42.4624176
1071.25	41.73756409	44.29594421
1071	43.37475967	46.05256271
1070.75	45.49688721	48.24883652
1070.5	47.07595444	49.77489853
1070.25	49.05957413	51.78919601
1070	50.90740204	53.62775421
1069.75	52.56319809	55.25901794
1069.5	54.62718582	57.10882568
1069.25	56.12460327	58.75376511
1069	58.00582123	60.53921509
1068.75	59.5414772	62.00038147
1068.5	61.08453369	63.52258301
1068.25	62.79455948	65.04927063
1068	64.03691864	66.2543335
1067.75	65.66837311	67.62609863
1067.5	66.8820343	68.7791748
1067.25	68.28347778	69.98605347
1067	69.45908356	70.97026062
1066.75	70.49734497	71.99178314
1066.5	71.52165222	72.82789612
1066.25	72.4667511	73.61465454
1066	73.46478271	74.47270966
1065.75	73.95887756	74.93994904
1065.5	74.7594986	75.63854218
1065.25	75.45279694	76.20137787
1065	76.15613556	76.69406891
1064.75	76.56095886	77.1164856
1064.5	77.01507568	77.43440247
1064.25	77.48313904	77.81650543
1064	77.75400543	78.02267456
1063.75	78.11460876	78.20315552
1063.5	78.34840393	78.39402008
1063.25	78.5378952	78.61004639
1063	78.65513611	78.55309296
1062.75	78.79451752	78.68108368
1062.5	78.84746552	78.68817139
1062.25	79.0475769	78.83843231
1062	78.9821701	78.80162048
1061.75	79.09281158	78.71809387
1061.5	79.09103394	78.81674957
1061.25	78.99343872	78.70326996
1061	78.96183014	78.55939484
1060.75	78.90528107	78.54836273
1060.5	78.93863678	78.48851776
1060.25	78.84824371	78.41810608
1060	78.80292511	78.38135529
1059.75	78.70340729	78.27826691
1059.5	78.66575623	78.25830078
1059.25	78.59307098	78.13243103
1059	78.51496887	78.11923981
1058.75	78.37893677	78.03456879
1058.5	78.40105438	77.96812439
1058.25	78.30675507	77.98190308
1058	78.22329712	77.88552856
1057.75	78.18344879	77.81565094
1057.5	78.1674881	77.8513031
1057.25	78.0539856	77.77229309
1057	78.12757111	77.84854889
1056.75	78.06793213	77.83829498
1056.5	78.11016083	77.81481934
1056.25	77.99999237	77.82173157
1056	78.01667023	77.82936096
1055.75	78.0096817	77.7853775
1055.5	78.03617096	77.9065094
1055.25	78.01239777	77.84928894
1055	78.05318451	77.95700073
1054.75	78.00847626	77.96243286
1054.5	78.07241058	77.97714996
1054.25	78.09796143	78.10413361
1054	78.10874939	78.07724762
1053.75	78.18383789	78.19213867
1053.5	78.19815063	78.1829834
1053.25	78.27103424	78.25785065
1053	78.32184601	78.3347168
1052.75	78.36207581	78.29319
1052.5	78.41937256	78.43826294
1052.25	78.41242981	78.55988312
1052	78.4681015	78.50512695
1051.75	78.60113525	78.64936829
1051.5	78.50535583	78.6254425
1051.25	78.62689209	78.68507385
1051	78.62847137	78.83552551
1050.75	78.70141602	78.78258514
1050.5	78.78450775	78.96543121
1050.25	78.86771393	79.00844574
1050	78.81854248	78.99156189
1049.75	78.8346405	79.02536011
1049.5	78.89558411	79.01670837
1049.25	78.99101257	79.13200378
1049	79.00938416	79.21437073
1048.75	79.00327301	79.16629028
1048.5	79.02874756	79.14167786
1048.25	79.0550766	79.22834015
1048	79.02212524	79.11582947
1047.75	79.06602478	79.19155884
1047.5	79.10248566	79.18930817
1047.25	79.06006622	79.27854156
1047	79.09957123	79.30427551
1046.75	79.05200958	79.10887909
1046.5	79.12126923	79.24052429
1046.25	79.03275299	79.3010025
1046	79.06654358	79.15653229
1045.75	79.02277374	79.23332977
1045.5	79.14382172	79.21277618
1045.25	79.05091858	79.26841736
1045	79.07086945	79.24440002
1044.75	79.01108551	79.16736603
1044.5	79.06072998	79.24279785
1044.25	79.05659485	79.24095154
1044	78.99272156	79.12143707
1043.75	78.94573212	79.11820984
1043.5	78.98193359	79.07841492
1043.25	78.93618011	79.09487152
1043	78.92463684	79.06611633
1042.75	78.96404266	79.06879425
1042.5	78.87423706	79.05844116
1042.25	78.87985992	79.02006531
1042	78.81440735	78.99224854
1041.75	78.83023071	78.94446564
1041.5	78.81634521	78.95277405
1041.25	78.79431915	79.03569794
1041	78.77113342	78.87942505
1040.75	78.78636169	78.9497757
1040.5	78.74389648	78.91286469
1040.25	78.74694824	78.87351227
1040	78.75225067	78.93817139
1039.75	78.71107483	78.93585968
1039.5	78.66847229	78.8744278
1039.25	78.67261505	78.95140076
1039	78.69563293	78.8151474
1038.75	78.67353821	78.96482849
1038.5	78.64146423	78.83956909
1038.25	78.65740967	78.78116608
1038	78.60601807	78.82814789
1037.75	78.65387726	78.79602051
1037.5	78.60691833	78.81435394
1037.25	78.66011047	78.7807312
1037	78.59246826	78.72187042
1036.75	78.61029053	78.78918457
1036.5	78.59784698	78.71944427
1036.25	78.58846283	78.64386749
1036	78.58654785	78.82450867
1035.75	78.55657196	78.75853729
1035.5	78.59825134	78.82130432
1035.25	78.55057526	78.78529358
1035	78.58855438	78.73139954
1034.75	78.49506378	78.79786682
1034.5	78.46492767	78.63368225
1034.25	78.56827545	78.7454834
1034	78.50151825	78.67059326
1033.75	78.46240234	78.58084106
1033.5	78.45048523	78.65380859
1033.25	78.44718933	78.55584717
1033	78.46624756	78.54936981
1032.75	78.39725494	78.55899048
1032.5	78.45813751	78.47395325
1032.25	78.42630768	78.52279663
1032	78.37760925	78.42726135
1031.75	78.34970093	78.43091583
1031.5	78.2947464	78.38108826
1031.25	78.23260498	78.28727722
1031	78.20278931	78.26953125
1030.75	78.16832733	78.21675873
1030.5	78.10540009	78.08904266
1030.25	78.12561035	78.09888458
1030	78.03121948	78.06682587
1029.75	77.98028564	77.90593719
1029.5	77.98690796	77.99308014
1029.25	77.96035767	77.85164642
1029	77.86289215	77.83981323
1028.75	77.77542877	77.82731628
1028.5	77.70839691	77.71723175
1028.25	77.60118103	77.57076263
1028	77.56040955	77.54697418
1027.75	77.54153442	77.47068787
1027.5	77.48796082	77.35526276
1027.25	77.42886353	77.36816406
1027	77.21821594	77.21624756
1026.75	77.38624573	77.32220459
