#int wave [AA] throughput
# Table 5 System throughput curve for the WFCAM H filter
# 1.0mm water vapour, 1.3 airmass
# Col 1: wavelength (AA)
# Col 2: throughput
#
100
0 13515.00 0.000000e+00
1 13575.45 0.000000e+00
2 13635.91 0.000000e+00
3 13696.36 0.000000e+00
4 13756.82 0.000000e+00
5 13817.27 0.000000e+00
6 13877.73 0.000000e+00
7 13938.18 1.000000e-04
8 13998.64 0.000000e+00
9 14059.09 1.818182e-04
10 14119.55 2.000000e-04
11 14180.00 3.000000e-04
12 14240.45 2.454545e-04
13 14300.91 7.727273e-04
14 14361.36 1.081818e-03
15 14421.82 2.300000e-03
16 14482.27 3.790909e-03
17 14542.73 6.190909e-03
18 14603.18 8.818182e-03
19 14663.64 1.370000e-02
20 14724.09 1.941818e-02
21 14784.55 5.083636e-02
22 14845.00 6.780000e-02
23 14905.45 1.277545e-01
24 14965.91 1.545091e-01
25 15026.36 2.011000e-01
26 15086.82 2.145909e-01
27 15147.27 2.330818e-01
28 15207.73 2.379364e-01
29 15268.18 2.403182e-01
30 15328.64 2.419273e-01
31 15389.09 2.439182e-01
32 15449.55 2.469636e-01
33 15510.00 2.497000e-01
34 15570.45 2.522182e-01
35 15630.91 2.545182e-01
36 15691.36 2.525545e-01
37 15751.82 2.552273e-01
38 15812.27 2.508818e-01
39 15872.73 2.594091e-01
40 15933.18 2.601000e-01
41 15993.64 2.564182e-01
42 16054.09 2.581727e-01
43 16114.55 2.523818e-01
44 16175.00 2.634000e-01
45 16235.45 2.652818e-01
46 16295.91 2.658364e-01
47 16356.36 2.614818e-01
48 16416.82 2.613545e-01
49 16477.27 2.561636e-01
50 16537.73 2.523636e-01
51 16598.18 2.507636e-01
52 16658.64 2.278455e-01
53 16719.09 2.469636e-01
54 16779.55 2.462364e-01
55 16840.00 2.376000e-01
56 16900.45 2.491727e-01
57 16960.91 2.509909e-01
58 17021.36 2.503273e-01
59 17081.82 2.461182e-01
60 17142.27 2.436455e-01
61 17202.73 2.426545e-01
62 17263.18 2.382545e-01
63 17323.64 2.240091e-01
64 17384.09 2.337818e-01
65 17444.55 2.189727e-01
66 17505.00 2.300000e-01
67 17565.45 2.219091e-01
68 17625.91 2.033000e-01
69 17686.36 1.985273e-01
70 17746.82 1.702909e-01
71 17807.27 1.487455e-01
72 17867.73 1.178455e-01
73 17928.18 9.943636e-02
74 17988.64 8.290000e-02
75 18049.09 6.253636e-02
76 18109.55 1.679091e-02
77 18170.00 1.910000e-02
78 18230.45 1.769091e-02
79 18290.91 3.218182e-03
80 18351.36 1.354545e-03
81 18411.82 3.372727e-03
82 18472.27 1.818182e-04
83 18532.73 5.363636e-04
84 18593.18 1.027273e-03
85 18653.64 1.754545e-03
86 18714.09 0.000000e+00
87 18774.55 3.636364e-04
88 18835.00 9.000000e-04
89 18895.45 7.363636e-04
90 18955.91 1.027273e-03
91 19016.36 5.545455e-04
92 19076.82 5.727273e-04
93 19137.27 4.545455e-05
94 19197.73 9.090909e-05
95 19258.18 4.363636e-04
96 19318.64 2.272727e-04
97 19379.09 2.363636e-04
98 19439.55 3.000000e-04
99 19500.00 2.000000e-04
