#int wave [AA] throughput
# Table 4 System throughput curve for the WFCAM J filter
# 1.0mm water vapour, 1.3 airmass
# Col 1: wavelength (AA)
# Col 2: throughput
#
100
0 10515.00 0.000000e+00
1 10555.20 0.000000e+00
2 10595.40 0.000000e+00
3 10635.61 0.000000e+00
4 10675.81 0.000000e+00
5 10716.01 0.000000e+00
6 10756.21 0.000000e+00
7 10796.41 0.000000e+00
8 10836.62 0.000000e+00
9 10876.82 0.000000e+00
10 10917.02 0.000000e+00
11 10957.22 0.000000e+00
12 10997.42 0.000000e+00
13 11037.63 1.000000e-04
14 11077.83 1.000000e-04
15 11118.03 1.000000e-04
16 11158.23 1.000000e-04
17 11198.43 2.000000e-04
18 11238.64 2.727273e-04
19 11278.84 3.000000e-04
20 11319.04 6.000000e-04
21 11359.24 6.303030e-04
22 11399.44 1.322222e-03
23 11439.65 2.307071e-03
24 11479.85 4.357576e-03
25 11520.05 6.406061e-03
26 11560.25 1.385556e-02
27 11600.45 2.775455e-02
28 11640.66 5.416970e-02
29 11680.86 9.542121e-02
30 11721.06 1.374576e-01
31 11761.26 1.644040e-01
32 11801.46 1.721273e-01
33 11841.67 1.734000e-01
34 11881.87 1.721758e-01
35 11922.07 1.774626e-01
36 11962.27 1.772909e-01
37 12002.47 1.763505e-01
38 12042.68 1.721545e-01
39 12082.88 1.783788e-01
40 12123.08 1.836384e-01
41 12163.28 1.908000e-01
42 12203.48 1.943182e-01
43 12243.69 1.951525e-01
44 12283.89 1.939222e-01
45 12324.09 1.913545e-01
46 12364.29 1.907000e-01
47 12404.49 1.927697e-01
48 12444.70 1.971636e-01
49 12484.90 2.017838e-01
50 12525.10 2.029384e-01
51 12565.30 2.048879e-01
52 12605.51 1.985859e-01
53 12645.71 1.882717e-01
54 12685.91 1.499273e-01
55 12726.11 1.984556e-01
56 12766.31 2.029141e-01
57 12806.52 2.089394e-01
58 12846.72 2.120899e-01
59 12886.92 2.120394e-01
60 12927.12 2.092303e-01
61 12967.32 2.053747e-01
62 13007.53 2.007495e-01
63 13047.73 2.018000e-01
64 13087.93 2.057000e-01
65 13128.13 2.019081e-01
66 13168.33 1.915000e-01
67 13208.54 1.766192e-01
68 13248.74 1.428818e-01
69 13288.94 9.360000e-02
70 13329.14 6.257172e-02
71 13369.34 3.962222e-02
72 13409.55 2.620909e-02
73 13449.75 1.607879e-02
74 13489.95 8.081818e-03
75 13530.15 3.321212e-03
76 13570.35 1.692929e-03
77 13610.56 2.333333e-04
78 13650.76 3.545455e-04
79 13690.96 7.575758e-04
80 13731.16 6.767677e-04
81 13771.36 3.909091e-04
82 13811.57 2.252525e-04
83 13851.77 1.353535e-04
84 13891.97 3.787879e-04
85 13932.17 2.434343e-04
86 13972.37 2.474747e-04
87 14012.58 4.848485e-05
88 14052.78 5.555556e-05
89 14092.98 4.040404e-05
90 14133.18 1.363636e-04
91 14173.38 1.000000e-04
92 14213.59 1.000000e-04
93 14253.79 1.000000e-04
94 14293.99 1.000000e-04
95 14334.19 1.000000e-04
96 14374.39 1.212121e-05
97 14414.60 8.080808e-06
98 14454.80 4.040404e-06
99 14495.00 1.000000e-04
