#int wave [AA] throughput
# Table 6 System throughput curve for the WFCAM K filter
# 1.0mm water vapour, 1.3 airmass
# Col 1: wavelength (AA)
# Col 2: throughput
#
100
0 19015.00 2.000000e-04
1 19075.40 3.080808e-04
2 19135.81 1.616162e-05
3 19196.21 2.272727e-04
4 19256.62 1.003030e-03
5 19317.02 8.595960e-04
6 19377.42 1.263636e-03
7 19437.83 2.069697e-03
8 19498.23 2.529293e-03
9 19558.64 2.363636e-03
10 19619.04 3.938384e-03
11 19679.44 4.133333e-03
12 19739.85 7.330303e-03
13 19800.25 8.345455e-03
14 19860.66 1.422626e-02
15 19921.06 1.858485e-02
16 19981.46 1.824646e-02
17 20041.87 9.938384e-03
18 20102.27 2.887273e-02
19 20162.68 3.110505e-02
20 20223.08 7.831212e-02
21 20283.48 1.105545e-01
22 20343.89 1.463333e-01
23 20404.29 1.623717e-01
24 20464.70 1.809152e-01
25 20525.10 1.385980e-01
26 20585.51 1.698747e-01
27 20645.91 1.338364e-01
28 20706.31 1.767232e-01
29 20766.72 2.032212e-01
30 20827.12 2.100848e-01
31 20887.53 2.143293e-01
32 20947.93 2.199141e-01
33 21008.33 2.209000e-01
34 21068.74 2.227747e-01
35 21129.14 2.237535e-01
36 21189.55 2.235727e-01
37 21249.95 2.248616e-01
38 21310.35 2.266000e-01
39 21370.76 2.274152e-01
40 21431.16 2.275394e-01
41 21491.57 2.274939e-01
42 21551.97 2.274000e-01
43 21612.37 2.252293e-01
44 21672.78 2.265889e-01
45 21733.18 2.278091e-01
46 21793.59 2.263657e-01
47 21853.99 2.253990e-01
48 21914.39 2.278879e-01
49 21974.80 2.269283e-01
50 22035.20 2.261515e-01
51 22095.61 2.285121e-01
52 22156.01 2.283495e-01
53 22216.41 2.193909e-01
54 22276.82 2.305364e-01
55 22337.22 2.310444e-01
56 22397.63 2.351677e-01
57 22458.03 2.318455e-01
58 22518.43 2.374687e-01
59 22578.84 2.342485e-01
60 22639.24 2.316879e-01
61 22699.65 2.339283e-01
62 22760.05 2.072768e-01
63 22820.45 2.261000e-01
64 22880.86 2.220737e-01
65 22941.26 2.073990e-01
66 23001.67 1.965667e-01
67 23062.07 2.013818e-01
68 23122.47 2.079273e-01
69 23182.88 1.786485e-01
70 23243.28 2.109960e-01
71 23303.69 2.184737e-01
72 23364.09 2.174636e-01
73 23424.49 2.189253e-01
74 23484.90 2.064242e-01
75 23545.30 2.166242e-01
76 23605.71 2.126162e-01
77 23666.11 1.870556e-01
78 23726.52 1.442818e-01
79 23786.92 1.312889e-01
80 23847.32 1.058556e-01
81 23907.73 8.334545e-02
82 23968.13 5.978788e-02
83 24028.54 5.081010e-02
84 24088.94 3.780303e-02
85 24149.34 2.748788e-02
86 24209.75 2.033030e-02
87 24270.15 1.448485e-02
88 24330.56 9.700000e-03
89 24390.96 7.261616e-03
90 24451.36 5.018182e-03
91 24511.77 2.446465e-03
92 24572.17 2.556566e-03
93 24632.58 1.460606e-03
94 24692.98 1.340404e-03
95 24753.38 1.000000e-03
96 24813.79 3.969697e-04
97 24874.19 4.000000e-04
98 24934.60 4.000000e-04
99 24995.00 3.000000e-04
