#  Table f098m.IR.fits[1]  Tue 10:27:22 12-Oct-2010
# row      WAVELENGTH      THROUGHPUT
#           angstroms                
100
0 8839.72 1.019185e-03
1 8860.86 1.974662e-03
2 8882.00 3.686482e-03
3 8903.15 7.340016e-03
4 8924.29 1.564306e-02
5 8945.44 3.425697e-02
6 8966.58 7.372010e-02
7 8987.73 1.438077e-01
8 9008.87 2.387945e-01
9 9030.02 3.278305e-01
10 9051.16 3.821652e-01
11 9072.31 4.005788e-01
12 9093.45 4.021761e-01
13 9114.59 4.010761e-01
14 9135.74 3.995313e-01
15 9156.88 3.986759e-01
16 9178.03 3.989470e-01
17 9199.17 4.006153e-01
18 9220.32 4.045390e-01
19 9241.46 4.097297e-01
20 9262.61 4.129887e-01
21 9283.75 4.155009e-01
22 9304.89 4.170244e-01
23 9326.04 4.188184e-01
24 9347.18 4.206755e-01
25 9368.33 4.229703e-01
26 9389.47 4.247931e-01
27 9410.62 4.238185e-01
28 9431.76 4.197815e-01
29 9452.91 4.166045e-01
30 9474.05 4.172362e-01
31 9495.20 4.220872e-01
32 9516.34 4.257241e-01
33 9537.48 4.258314e-01
34 9558.63 4.229683e-01
35 9579.77 4.217726e-01
36 9600.92 4.221567e-01
37 9622.06 4.231494e-01
38 9643.21 4.229246e-01
39 9664.35 4.226807e-01
40 9685.50 4.239281e-01
41 9706.64 4.267268e-01
42 9727.78 4.294376e-01
43 9748.93 4.303081e-01
44 9770.07 4.316640e-01
45 9791.22 4.353988e-01
46 9812.36 4.415394e-01
47 9833.51 4.462083e-01
48 9854.65 4.488829e-01
49 9875.80 4.490886e-01
50 9896.94 4.485451e-01
51 9918.08 4.478714e-01
52 9939.23 4.463140e-01
53 9960.37 4.428785e-01
54 9981.52 4.403070e-01
55 10002.66 4.400096e-01
56 10023.81 4.419235e-01
57 10044.95 4.423748e-01
58 10066.10 4.385876e-01
59 10087.24 4.314561e-01
60 10108.39 4.271230e-01
61 10129.53 4.272446e-01
62 10150.67 4.324543e-01
63 10171.82 4.374314e-01
64 10192.96 4.367118e-01
65 10214.11 4.309005e-01
66 10235.25 4.272005e-01
67 10256.40 4.307939e-01
68 10277.54 4.426847e-01
69 10298.69 4.563666e-01
70 10319.83 4.664381e-01
71 10340.97 4.696237e-01
72 10362.12 4.689207e-01
73 10383.26 4.691676e-01
74 10404.41 4.713774e-01
75 10425.55 4.739455e-01
76 10446.70 4.730077e-01
77 10467.84 4.678211e-01
78 10488.99 4.608646e-01
79 10510.13 4.524431e-01
80 10531.27 4.464438e-01
81 10552.42 4.474102e-01
82 10573.56 4.535794e-01
83 10594.71 4.608869e-01
84 10615.85 4.629616e-01
85 10637.00 4.525993e-01
86 10658.14 4.170455e-01
87 10679.29 3.424672e-01
88 10700.43 2.448830e-01
89 10721.58 1.564212e-01
90 10742.72 9.380594e-02
91 10763.86 5.231654e-02
92 10785.01 2.723678e-02
93 10806.15 1.402744e-02
94 10827.30 7.584655e-03
95 10848.44 4.580865e-03
96 10869.59 2.957173e-03
97 10890.73 2.090818e-03
98 10911.88 1.488794e-03
99 10933.02 1.024597e-03
