#  Table f125w.IR.fits[1]  Tue 10:27:23 12-Oct-2010
# row      WAVELENGTH      THROUGHPUT
#           angstroms                
100
0 10780.66 1.000724e-03
1 10815.40 2.665371e-03
2 10850.13 6.354279e-03
3 10884.87 1.711129e-02
4 10919.60 4.733332e-02
5 10954.34 1.250388e-01
6 10989.07 2.612154e-01
7 11023.81 3.959533e-01
8 11058.55 4.635680e-01
9 11093.28 4.840010e-01
10 11128.02 4.903547e-01
11 11162.75 4.938736e-01
12 11197.49 4.948399e-01
13 11232.22 4.967767e-01
14 11266.96 4.974048e-01
15 11301.70 4.967057e-01
16 11336.43 4.941414e-01
17 11371.17 4.933245e-01
18 11405.90 4.960313e-01
19 11440.64 4.993090e-01
20 11475.38 4.999673e-01
21 11510.11 4.982278e-01
22 11544.85 4.986605e-01
23 11579.58 5.055015e-01
24 11614.32 5.144029e-01
25 11649.05 5.187245e-01
26 11683.79 5.159028e-01
27 11718.53 5.118035e-01
28 11753.26 5.116163e-01
29 11788.00 5.151553e-01
30 11822.73 5.177373e-01
31 11857.47 5.165990e-01
32 11892.20 5.139498e-01
33 11926.94 5.142690e-01
34 11961.68 5.174123e-01
35 11996.41 5.213733e-01
36 12031.15 5.234027e-01
37 12065.88 5.231361e-01
38 12100.62 5.243443e-01
39 12135.35 5.269278e-01
40 12170.09 5.284034e-01
41 12204.83 5.276212e-01
42 12239.56 5.245946e-01
43 12274.30 5.244291e-01
44 12309.03 5.280779e-01
45 12343.77 5.337456e-01
46 12378.50 5.372973e-01
47 12413.24 5.371351e-01
48 12447.98 5.354019e-01
49 12482.71 5.366013e-01
50 12517.45 5.394907e-01
51 12552.18 5.415506e-01
52 12586.92 5.397804e-01
53 12621.66 5.349766e-01
54 12656.39 5.308018e-01
55 12691.13 5.317107e-01
56 12725.86 5.361818e-01
57 12760.60 5.425921e-01
58 12795.33 5.472514e-01
59 12830.07 5.494243e-01
60 12864.81 5.490633e-01
61 12899.54 5.468343e-01
62 12934.28 5.415609e-01
63 12969.01 5.344105e-01
64 13003.75 5.277718e-01
65 13038.48 5.250904e-01
66 13073.22 5.282714e-01
67 13107.96 5.365815e-01
68 13142.69 5.461680e-01
69 13177.43 5.532259e-01
70 13212.16 5.564064e-01
71 13246.90 5.569669e-01
72 13281.63 5.565806e-01
73 13316.37 5.543510e-01
74 13351.11 5.488154e-01
75 13385.84 5.407577e-01
76 13420.58 5.327680e-01
77 13455.31 5.284238e-01
78 13490.05 5.286989e-01
79 13524.78 5.330686e-01
80 13559.52 5.381520e-01
81 13594.26 5.428990e-01
82 13628.99 5.432481e-01
83 13663.73 5.429091e-01
84 13698.46 5.407828e-01
85 13733.20 5.369708e-01
86 13767.94 5.312491e-01
87 13802.67 5.212090e-01
88 13837.41 5.082394e-01
89 13872.14 5.035975e-01
90 13906.88 5.121179e-01
91 13941.61 5.054264e-01
92 13976.35 3.994206e-01
93 14011.09 2.089118e-01
94 14045.82 7.499813e-02
95 14080.56 2.594610e-02
96 14115.29 9.984029e-03
97 14150.03 4.213412e-03
98 14184.76 2.022838e-03
99 14219.50 1.002228e-03
