#  Table f275w.UVIS2.fits[1]  Tue 10:27:16 12-Oct-2010
# row      WAVELENGTH      THROUGHPUT
#           angstroms                
100
0 2273.28 1.005294e-03
1 2281.88 1.260552e-03
2 2290.48 1.799636e-03
3 2299.09 2.649731e-03
4 2307.69 3.379356e-03
5 2316.30 3.711501e-03
6 2324.90 3.772587e-03
7 2333.50 3.879038e-03
8 2342.11 4.314263e-03
9 2350.71 5.158802e-03
10 2359.32 6.347422e-03
11 2367.92 7.477744e-03
12 2376.52 8.356579e-03
13 2385.13 9.083165e-03
14 2393.73 9.947912e-03
15 2402.34 1.130123e-02
16 2410.94 1.344379e-02
17 2419.55 1.690331e-02
18 2428.15 2.140572e-02
19 2436.75 2.633854e-02
20 2445.36 3.119893e-02
21 2453.96 3.584756e-02
22 2462.57 4.063221e-02
23 2471.17 4.634901e-02
24 2479.77 5.422974e-02
25 2488.38 6.421956e-02
26 2496.98 7.517534e-02
27 2505.59 8.563711e-02
28 2514.19 9.448481e-02
29 2522.79 1.013076e-01
30 2531.40 1.065595e-01
31 2540.00 1.113881e-01
32 2548.61 1.162991e-01
33 2557.21 1.208481e-01
34 2565.82 1.245184e-01
35 2574.42 1.268865e-01
36 2583.02 1.278338e-01
37 2591.63 1.276158e-01
38 2600.23 1.266887e-01
39 2608.84 1.251002e-01
40 2617.44 1.229279e-01
41 2626.04 1.202759e-01
42 2634.65 1.171688e-01
43 2643.25 1.136961e-01
44 2651.86 1.101189e-01
45 2660.46 1.068303e-01
46 2669.06 1.039926e-01
47 2677.67 1.015386e-01
48 2686.27 9.940462e-02
49 2694.88 9.731915e-02
50 2703.48 9.553998e-02
51 2712.09 9.417928e-02
52 2720.69 9.257183e-02
53 2729.29 9.080083e-02
54 2737.90 8.900454e-02
55 2746.50 8.744472e-02
56 2755.11 8.607855e-02
57 2763.71 8.484268e-02
58 2772.31 8.360619e-02
59 2780.92 8.215615e-02
60 2789.52 8.030827e-02
61 2798.13 7.816884e-02
62 2806.73 7.618401e-02
63 2815.33 7.420276e-02
64 2823.94 7.234209e-02
65 2832.54 7.074797e-02
66 2841.15 6.947383e-02
67 2849.75 6.872773e-02
68 2858.36 6.824376e-02
69 2866.96 6.781407e-02
70 2875.56 6.734107e-02
71 2884.17 6.664665e-02
72 2892.77 6.564233e-02
73 2901.38 6.442066e-02
74 2909.98 6.313735e-02
75 2918.58 6.178433e-02
76 2927.19 6.054862e-02
77 2935.79 5.939490e-02
78 2944.40 5.832727e-02
79 2953.00 5.729728e-02
80 2961.60 5.619790e-02
81 2970.21 5.483479e-02
82 2978.81 5.322406e-02
83 2987.42 5.141367e-02
84 2996.02 4.951345e-02
85 3004.63 4.737363e-02
86 3013.23 4.501158e-02
87 3021.83 4.241143e-02
88 3030.44 3.906476e-02
89 3039.04 3.425858e-02
90 3047.65 2.827211e-02
91 3056.25 2.178555e-02
92 3064.85 1.570715e-02
93 3073.46 1.071388e-02
94 3082.06 7.055992e-03
95 3090.67 4.615796e-03
96 3099.27 3.110065e-03
97 3107.87 2.109510e-03
98 3116.48 1.448412e-03
99 3125.08 1.008637e-03
